PPTID,Session1_Flanker_congruent_%correct,Session1_Flanker_neutral_%correct,Session1_Flanker_incongruent_%correct,Session1_Flanker_errorcost,Session1_Flanker_congruent_RT,Session1_Flanker_neutral_RT,Session1_Flanker_incongruent_RT,Session1_Flanker_RTcost,Session1_Stroop_congruent_%correct,Session1_Stroop_neutral_%correct,Session1_Stroop_incongruent_%correct,Session1_Stroop_errorcost,Session1_Stroop_congruent_RT,Session1_Stroop_neutral_RT,Session1_Stroop_incongruent_RT,Session1_Stroop_RTcost,Session1_GNG_gotrials_%correct,Session1_GNG_nogotrials_%correct,Session1_GNG_gotrials_RT,Session1_StopSignal_%Failedstop,Session1_StopSignal_MeanSSD,Session1_StopSignal_SSRTMEAN,Session1_StopSignal_GoRT,Session1_StopSignal_%correctGo,Session1_StopSignal_SSRTINTEGRATION,Session1_UPPS_NegativeUrgency,Session1_UPPS_Premeditation,Session1_UPPS_perseverance,Session1_UPPS_SensationSeeking,Session1_UPPS_PositiveUrgency,Session2_Flanker_congruent_%correct,Session2_Flanker_neutral_%correct,Session2_Flanker_incongruent_%correct,Session2_Flanker_errorcost,Session2_Flanker_congruent_RT,Session2_Flanker_neutral_RT,Session2_Flanker_incongruent_RT,Session2_Flanker_RTcost,Session2_Stroop_congruent_%correct,Session2_Stroop_neutral_%correct,Session2_Stroop_incongruent_%correct,Session2_Stroop_errorcost,Session2_Stroop_congruent_RT,Session2_Stroop_neutral_RT,Session2_Stroop_incongruent_RT,Session2_Stroop_RTcost,Session2_GNG_gotrials_%correct,Session2_GNG_nogotrials_%correct,Session2_GNG_gotrials_RT,Session2_StopSignal_%Failedstop,Session2_StopSignal_MeanSSD,Session2_StopSignal_SSRTMEAN,Session2_StopSignal_GoRT,Session2_StopSignal_%correctGo,Session2_StopSignal_SSRTINTEGRATION,Session2_UPPS_NegativeUrgency,Session2_UPPS_Premeditation,Session2_UPPS_perseverance,Session2_UPPS_SensationSeeking,Session2_UPPS_PositiveUrgency
12,96.667,95.000,86.667,10.000,543.014,528.900,600.135,57.121,91.25,92.5,93.33333333,-2.083,738.8291538,773.069086,803.8673019,65.038,99.33333333,84,434.4891332,50,245.6081081,290.3197989,515.4381443,91.05145414,249.3918919,3.75,3.272727273,3.5,3.25,1.214285714,96.66666667,93.75,89.58333333,7.083333333,561.102993,517.5339022,615.171697,54.06870404,99.16666667,95.41666667,97.08333333,2.083333333,737.3985506,735.7858684,802.4384696,65.03991895,98,80,495.3049511,48.99328859,400.3355705,256.0635121,637.0992736,95.06726457,214.7751678,3.916666667,2.636363636,3.2,3.333333333,1.214285714
13,96.250,93.333,85.833,10.417,447.961,441.759,486.804,38.843,92.91666667,91.66666667,91.25,1.667,755.7438877,804.253226,818.4314328,62.688,99.55555556,72,471.1464419,48.32214765,315.7718121,266.6164498,577.2537313,78.69955157,223.795302,1.833333333,2.272727273,2.5,2.583333333,1.285714286,92.08333333,90,91.25,0.833333333,440.7402522,432.7360436,453.7707995,13.0305473,95.41666667,93.33333333,95,0.416666667,745.0409742,737.3169084,758.7154173,13.67444312,98.66666667,75.33333333,493.0033547,49.32432432,322.6351351,246.6525053,547.3756219,93.95973154,208.3648649,2.25,2.090909091,2.1,2.833333333,1.571428571
14,95.000,93.333,89.167,5.833,372.347,377.571,420.650,48.303,95,96.66666667,89.58333333,5.417,606.7362299,609.759054,714.0022074,107.266,99.77777778,92,408.8319839,49.32432432,377.3648649,269.3772166,638.8111888,96.6442953,262.1486486,1.833333333,1.727272727,1.5,2.333333333,1.285714286,89.16666667,89.58333333,87.91666667,1.25,350.4137671,345.9983194,375.3935087,24.97974161,91.25,90.41666667,88.75,2.5,504.286047,532.4012916,603.816416,99.53036898,99.33333333,84.66666667,390.0491258,47.65100671,588.2550336,161.885844,751.3309693,94.84304933,138.5738255,1.666666667,1.727272727,1.5,2.916666667,1.071428571
15,93.333,88.750,77.083,16.250,409.994,406.156,442.775,32.781,92.08333333,88.33333333,90,2.083,632.862289,659.7638573,734.8389183,101.977,97.11111111,76,419.768525,49.33333333,259,295.390411,533.4395062,95.28089888,257,2.25,1.363636364,2.3,3.083333333,1.571428571,94.58333333,92.5,80.41666667,14.16666667,414.8525993,414.7339331,482.8842846,68.03168533,92.08333333,91.25,91.66666667,0.416666667,581.7840712,641.7103527,709.3225448,127.5384736,98,77.33333333,442.2627415,50.67567568,232.7702703,233.159594,453.9414634,94.40715884,212.7162162,2.833333333,2.090909091,2.9,2.916666667,2
16,99.583,99.167,95.833,3.750,458.831,450.256,510.716,51.885,97.08333333,95.83333333,98.75,-1.667,584.3992301,574.3134578,624.6716015,40.272,99.55555556,94,445.9722937,48.66666667,551.6666667,196.0303721,747.6970387,98.65168539,184.3333333,2.083333333,2.090909091,1.1,3.416666667,2.142857143,98.33333333,99.16666667,94.58333333,3.75,434.3481114,435.5146781,492.3055485,57.95743715,98.33333333,97.08333333,96.66666667,1.666666667,566.9733021,563.6450769,591.7563433,24.78304122,100,96,436.7389533,50.33557047,237.2483221,246.650781,467.1905882,99.55156951,222.7483221,2.25,2,1.3,3.416666667,2.285714286
18,96.250,96.250,92.500,3.750,450.439,455.075,508.146,57.707,97.5,96.25,90.41666667,7.083,548.6197575,579.1946051,620.1817539,71.562,100,93.33333333,456.9156865,45.94594595,703.0405405,192.6484129,896.0058309,76.73378076,253.7297297,1.75,1.454545455,2,3.75,1.071428571,95.83333333,94.16666667,92.08333333,3.75,399.5876325,397.6351773,436.247883,36.66025049,92.5,94.16666667,91.66666667,0.833333333,517.2126655,520.3389308,582.5491168,65.33645124,100,89.33333333,411.2178458,48.32214765,387.5838926,161.3417831,560.1717647,95.29147982,76.46644295,1.75,1.363636364,1.9,3.583333333,1.142857143
19,99.583,98.750,92.917,6.667,393.459,396.279,450.602,57.143,95.41666667,94.58333333,96.25,-0.833,558.2226141,557.168286,606.6184757,48.396,99.11111111,86,572.3805909,46.93877551,469.3877551,220.861678,688.6232877,98.21428571,196.1122449,2.916666667,2.090909091,2.8,3.416666667,2.142857143,100,99.58333333,91.25,8.75,373.3917242,373.3535878,434.8684987,61.47677456,96.66666667,94.16666667,92.91666667,3.75,512.2943209,530.8323026,585.2259328,72.93161192,99.33333333,83.33333333,529.5433882,49.66442953,369.1275168,202.3679787,561.6743649,99.32735426,186.8724832,1.916666667,2.818181818,1.2,3.333333333,1.785714286
20,98.333,97.500,88.333,10.000,424.470,431.102,480.926,56.456,96.66666667,91.25,92.08333333,4.583,649.6819855,683.7751361,709.0313956,59.349,99.55555556,74.66666667,455.4772677,49.66442953,282.5503356,273.600906,546.5552941,97.30941704,235.4496644,2.416666667,1.181818182,2,1.916666667,1.857142857,95.41666667,95.41666667,85.41666667,10,400.1764436,389.6712391,419.6531354,19.47669182,95.41666667,93.33333333,91.25,4.166666667,573.2259608,601.1960949,588.0595763,14.83361543,99.55555556,76.66666667,435.3193544,52.34899329,196.3087248,253.9225677,439.7626263,92.60089686,238.0503356,2.5,1.454545455,2,2.166666667,2.071428571
21,71.250,70.000,67.500,3.750,376.938,379.980,416.231,39.293,92.08333333,89.58333333,77.5,14.583,517.0541122,537.2834228,592.9434426,75.889,99.55555556,81.33333333,347.4759116,53.02013423,153.3557047,215.6915926,360.0492228,91.70403587,199.6442953,3.416666667,2.636363636,2.2,3.583333333,2.857142857,96.25,97.91666667,78.33333333,17.91666667,382.4437466,382.9790922,439.6271184,57.18337175,92.5,92.08333333,91.66666667,0.833333333,588.8738297,608.3860222,656.6190144,67.74518468,98,81.33333333,397.5129086,48.97959184,226.5306122,246.193603,450.6650485,96.875,210.4693878,3.25,2.727272727,2.4,3.5,2.785714286
22,95.000,90.833,85.000,10.000,422.718,423.539,455.503,32.785,95,95,92.91666667,2.083,620.94268,636.276642,717.9810072,97.038,100,74.66666667,374.444109,49.66442953,184.5637584,298.7222776,467.6956522,97.75784753,271.4463087,2.25,2.090909091,2,2.666666667,2,95.83333333,94.16666667,80.83333333,15,409.8526794,417.1818438,450.9596598,41.10698044,92.91666667,89.16666667,92.08333333,0.833333333,581.1653947,600.5555494,678.5846847,97.41929007,99.77777778,71.33333333,368.9923053,49.66442953,199.3288591,286.0158898,457.9924433,94.61883408,246.7013423,2.333333333,2.272727273,2.2,3.083333333,2.071428571
