PPTID,Session1_Posner_cued_%correct,Session1_Posner_uncued_%correct,Session1_Posner_cued_RT,Session1_Posner_uncued_RT,Session1_Posner_cueing effect,Session1_SNARC_congruent_%correct,Session1_SNARC_incongruent_%correct,Session1_SNARC_ERRORCOST,Session1_SNARC_congruent_RT,Session1_SNARC_incongruent_RT,Session1_SNARC_RTCOST,Session1_NAVON_LOCAL_congruent_%correct,Session1_NAVON_LOCAL_incongruent_%correct,Session1_NAVON_LOCAL_ERRORCOST,Session1_NAVON_LOCAL_congruent_RT,Session1_NAVON_LOCAL_incongruent_RT,Session1_NAVON_LOCAL_RTCOST,Session1_NAVON_GLOBAL_congruent_%correct,Session1_NAVON_GLOBAL_incongruent_%correct,Session1_NAVON_GLOBAL_ERRORCOST,Session1_NAVON_GLOBAL_congruent_RT,Session1_NAVON_GLOBAL_incongruent_RT,Session1_NAVON_GLOBAL_RTCOST,Session1_NAVON_GLOBAL_PRECEDENCE_RTCOST,Session1_UPPS_NegativeUrgency,Session1_UPPS_Premeditation,Session1_UPPS_perseverance,Session1_UPPS_SensationSeeking,Session1_UPPS_PositiveUrgency,Session2_Posner_cued_%correct,Session2_Posner_uncued_%correct,Session2_Posner_cued_RT,Session2_Posner_uncued_RT,Session2_Posner_cueing effect,Session2_SNARC_congruent_%correct,Session2_SNARC_incongruent_%correct,Session2_SNARC_ERRORCOST,Session2_SNARC_congruent_RT,Session2_SNARC_incongruent_RT,Session2_SNARC_RTCOST,Session2_NAVON_LOCAL_congruent_%correct,Session2_NAVON_LOCAL_incongruent_%correct,Session2_NAVON_LOCAL_ERRORCOST,Session2_NAVON_LOCAL_congruent_RT,Session2_NAVON_LOCAL_incongruent_RT,Session2_NAVON_LOCAL_RTCOST,Session2_NAVON_GLOBAL_congruent_%correct,Session2_NAVON_GLOBAL_incongruent_%correct,Session2_NAVON_GLOBAL_ERRORCOST,Session2_NAVON_GLOBAL_congruent_RT,Session2_NAVON_GLOBAL_incongruent_RT,Session2_NAVON_GLOBAL_RTCOST,Session2_NAVON_GLOBAL_PRECEDENCE_RTCOST,Session2_UPPS_NegativeUrgency,Session2_UPPS_Premeditation,Session2_UPPS_perseverance,Session2_UPPS_SensationSeeking,Session2_UPPS_PositiveUrgency
32,99.0234375,96.875,246.8742235,260.2514367,13.37721323,91.25,91.875,-0.625,428.6620617,460.3982311,31.73616934,95,80.625,14.375,457.8154908,514.1931265,56.37763571,91.875,89.375,2.5,408.2356735,407.4578258,-0.777847699,49.57981727,1.833333333,1.818181818,2.3,3,1.785714286,99.4140625,99.21875,248.6050401,263.8671384,15.26209833,93.75,93.75,0,413.3527483,411.8950707,-1.457677623,98.125,86.25,11.875,419.8650693,482.8737826,63.00871331,93.125,91.875,1.25,376.7745383,384.7522541,7.977715769,43.09053096,1.833333333,1.909090909,2.1,2.666666667,1.785714286
33,96.2890625,100,327.0995575,395.0159696,67.91641211,96.25,95.3125,0.9375,476.3441188,489.6766235,13.33250469,98.125,93.125,5,559.1366706,636.0473056,76.91063496,96.25,96.875,-0.625,475.7459998,490.9140272,15.16802735,83.39067082,3.583333333,2.636363636,3.8,2.75,2.285714286,95.3125,97.65625,290.7224404,354.5010369,63.77859652,95.9375,96.25,-0.3125,458.2513002,462.5511605,4.299860365,98.75,91.25,7.5,531.3834697,594.7806986,63.3972289,96.875,93.75,3.125,431.0615072,434.5110687,3.449561519,100.3219625,3,2.818181818,3.7,2.583333333,2.214285714
34,98.046875,100,281.4748137,302.7315103,21.25669659,88.4375,88.75,-0.3125,394.4565839,411.0463903,16.58980639,96.25,73.75,22.5,443.4757147,495.839612,52.36389725,86.25,83.125,3.125,380.6751652,385.0253447,4.350179482,62.80054948,2,1.727272727,2,3.5,1.357142857,98.828125,98.4375,277.5915911,287.4901558,9.898564706,87.1875,85.625,1.5625,388.4648948,412.5506806,24.08578575,96.875,76.25,20.625,444.2746666,504.752916,60.47824942,85.625,90,-4.375,378.8986661,380.1947021,1.296035966,65.37600045,2.166666667,1.727272727,1.8,3.583333333,1.142857143
35,95.8984375,96.875,297.2947468,321.7258031,24.43105626,90.625,85.9375,4.6875,397.1338948,439.9481094,42.81421461,98.125,80.625,17.5,427.0165596,491.7228916,64.70633205,91.875,89.375,2.5,365.7230115,365.3638748,-0.359136663,61.29354809,2.833333333,2.454545455,2.7,3.083333333,2.928571429,96.09375,95.3125,253.8211031,287.542305,33.72120192,92.1875,90.3125,1.875,418.2946734,454.6996077,36.40493431,94.375,86.875,7.5,452.8472687,521.0377091,68.19044032,91.875,93.75,-1.875,392.703127,380.7262048,-11.9769222,60.14414176,3,2.818181818,2.2,2.916666667,2.714285714
36,97.4609375,98.4375,298.0821716,325.3017494,27.21957782,94.6875,94.6875,0,484.7422681,514.2872361,29.54496807,98.75,94.375,4.375,524.0639036,606.8708735,82.8069699,98.125,96.875,1.25,508.0368593,530.0909528,22.05409347,16.02704423,2.75,2.636363636,2.5,2.75,3,96.09375,96.875,320.6295851,330.8672307,10.2376456,93.75,92.5,1.25,475.9003046,494.4696072,18.56930258,98.125,83.125,15,486.5179095,562.3407401,75.82283066,95.625,93.75,1.875,437.9440946,426.004175,-11.93991966,48.57381483,2.916666667,2.363636364,2.6,2.75,2.857142857
37,98.6328125,94.53125,264.9538757,279.3969708,14.44309513,90.625,94.6875,-4.0625,416.2509907,426.6338158,10.38282506,97.5,80.625,16.875,444.6750269,520.111551,75.43652414,94.375,89.375,5,389.959457,386.5116564,-3.447800632,54.71556983,1.916666667,2.090909091,1.6,3.583333333,1.785714286,96.6796875,95.3125,262.3673647,266.935384,4.568019312,93.75,92.5,1.25,446.9088465,436.4320982,-10.47674828,98.75,85.625,13.125,508.5453181,565.3107923,56.76547427,94.375,95.625,-1.25,470.2521682,439.7117413,-30.54042694,38.29314983,2.083333333,2,1.6,3.833333333,1.857142857
38,99.21875,99.21875,321.4573836,350.7466669,29.28928325,99.375,98.75,0.625,504.947682,544.0168756,39.06919359,100,98.125,1.875,563.7337528,630.7220743,66.98832146,98.125,97.5,0.625,489.2529804,496.2823904,7.029409963,74.48077239,2.75,2.818181818,1.7,2.666666667,2.928571429,99.609375,100,369.2869505,401.5015107,32.21456025,98.4375,99.0625,-0.625,467.7961236,490.05938,22.26325634,99.375,96.25,3.125,502.9837486,576.8806176,73.89686903,98.75,98.125,0.625,463.3247782,460.3319537,-2.992824488,39.65897041,2.583333333,2.909090909,1.4,2.583333333,2.928571429
39,97.0703125,99.21875,298.6222752,322.7693368,24.14706158,93.125,90.3125,2.8125,428.6014517,444.2244899,15.62303818,98.75,89.375,9.375,451.7716293,543.5669613,91.79533201,92.5,93.75,-1.25,412.4725222,408.9043093,-3.568212848,39.29910712,2.333333333,1.818181818,3,3.083333333,2,98.2421875,97.65625,296.5961213,338.6580401,42.06191882,92.8125,89.6875,3.125,416.7270721,450.302743,33.57567094,98.75,88.75,10,485.6997346,554.0471139,68.34737933,95.625,93.75,1.875,394.7184921,389.0031433,-5.715348733,90.98124254,2.333333333,2.090909091,3,3.25,2.142857143
40,97.265625,98.4375,256.0766339,267.7080346,11.63140067,91.5625,89.0625,2.5,468.6585873,556.8515683,88.19298098,96.25,85.625,10.625,512.1830983,611.632272,99.44917368,89.375,92.5,-3.125,429.0465981,441.6864136,12.63981556,83.13650027,2,1.363636364,2.1,2,1.285714286,99.4140625,99.21875,271.8546853,289.9699562,18.11527092,95.3125,94.0625,1.25,633.7984076,654.8685804,21.07017282,98.125,95.625,2.5,596.4783134,622.7177112,26.2393978,97.5,91.875,5.625,573.2542028,568.9841695,-4.270033341,23.22411061,2.25,1.454545455,2,2.083333333,1.285714286
41,98.828125,100,232.219553,242.5067735,10.2872205,95.9375,95.3125,0.625,416.6311167,439.2600369,22.62892016,98.125,91.875,6.25,450.9516407,494.9487515,43.99711082,91.875,91.875,0,395.397397,381.8276218,-13.56977515,55.55424373,2.5,1.545454545,2.3,3.583333333,1.642857143,98.046875,98.4375,220.9512994,229.0982019,8.146902529,94.375,90,4.375,402.9080046,419.4813059,16.57330125,99.375,97.5,1.875,458.2863681,522.2701799,63.98381181,93.75,96.25,-2.5,408.3399481,422.2338412,13.89389312,49.94641998,1.916666667,1.454545455,1.8,3.916666667,1.214285714
42,99.4140625,99.21875,270.2278436,306.7029364,36.47509283,92.5,85.625,6.875,415.6796018,434.9911782,19.3115764,96.875,82.5,14.375,437.2165384,523.8583026,86.64176421,89.375,86.875,2.5,393.0448081,385.8630889,-7.181719109,44.17173035,3.25,1.272727273,1.3,2.666666667,2.571428571,99.0234375,97.65625,226.1610211,248.9511885,22.79016744,90.3125,88.125,2.1875,396.166699,373.9417703,-22.22492868,95.625,75.625,20,403.3400882,497.0589745,93.71888633,91.25,91.875,-0.625,315.2091616,333.5118947,18.30273311,88.13092663,2.916666667,1.272727273,1.2,2.416666667,1.928571429
